category,sample_id,seed,width,depth,height,time_seconds,success,error
bed,0342,42,0.774341905358195,0.6980483085192017,0.4216312901799917,20.85861849784851,True,
bed,0961,42,1.0787420759061819,0.5079124390806344,1.076994815015084,7.912973642349243,True,
bed,0187,42,0.8023308937472182,0.766971380749635,0.2666275013749378,15.071488857269287,True,
bed,0749,42,0.5839139603307737,0.8571299121182208,0.4305687330040745,16.475435972213745,True,
sofa,1506,42,0.9826889655335864,0.4143609727097198,0.4287628964551743,9.952089309692383,True,
sofa,1609,42,0.9644531123324174,0.42494954555928555,0.464250465082478,11.438053846359253,True,
sofa,0677,42,1.1825847853110356,1.1597119493812293,0.32421044697739604,22.465900182724,True,
sofa,1731,42,0.9290804272950536,0.5151755227439765,0.6011223814159652,15.390355348587036,True,
chair,0134,42,0.47596753212188697,0.9927988476944738,0.6563887515158927,9.211049556732178,True,
chair,0479,42,0.5651251283057108,0.629860365808084,1.0611019101749664,12.911877632141113,True,
chair,3275,42,0.6980365986798207,0.7020134271119647,0.9943369063683414,8.524119853973389,True,
chair,3346,42,0.9469839883232043,0.9006192748386423,1.0238792287342324,25.748169660568237,True,
table,0106,42,0.6056689685190283,0.6508385714200251,0.7869936934536851,9.088999509811401,True,
table,1733,42,0.788799072420156,0.7464403532850712,0.8220276731213991,14.70514178276062,True,
table,0845,42,0.5108038282244189,0.7138611464048092,0.8377268806273375,14.09370493888855,True,
table,0072,42,0.6105405941911755,0.3715208830560779,0.818950630370344,13.301273822784424,True,
desk,0005,42,0.9077017112541174,0.6566687450928286,0.7038667457086352,10.570167303085327,True,
desk,0584,42,0.4409903770881527,0.8749249242177735,1.0001328385243862,14.73237156867981,True,
desk,0231,42,0.9667716036324909,0.6176218618571069,0.588929607407801,11.67107081413269,True,
bookcase,0007,42,0.380214793680234,0.17246480008900245,0.9888658421439384,8.259550094604492,True,
bookcase,0292,42,0.20944264161206974,0.14714537037860587,1.0023379711821323,5.7431817054748535,True,
bookcase,0331,42,0.426203633812613,0.1367263302648133,1.0014792647439075,8.125350952148438,True,
wardrobe,0046,42,0.4507532448648818,0.25806161184796095,1.0004011235848485,11.150834798812866,True,
wardrobe,0142,42,0.7550658648664161,0.33882320939301025,0.9849499409874642,17.317036390304565,True,
wardrobe,0214,42,0.8256412575099468,0.31151480058625397,0.9998330937368862,16.933990716934204,True,
